,Player,Tm,Pos,G,GS,Solo,Sk,Int,Year
9233,Robaire Smith,CLE,RDE,16,16,42.0,4.0,0.0,2007
9234,Zach Thomas,MIA,MLB,5,5,42.0,1.0,0.0,2007
9235,Jonathan Babineaux,ATL,RDT,14,9,41.0,3.0,0.0,2007
9236,Dre' Bly,DEN,RCB,16,16,41.0,1.0,5.0,2007
9237,Will Demps,HOU,FS,15,8,41.0,0.0,0.0,2007
9238,Justin Durant,JAX,RLB,13,8,41.0,1.0,1.0,2007
9239,Jabari Greer,BUF,LCB,16,13,41.0,0.0,2.0,2007
9240,Tyjuan Hagler,IND,LLB,12,7,41.0,1.0,0.0,2007
9241,Ma'ake Kemoeatu,CAR,LDT,16,13,41.0,0.0,0.0,2007
9242,Darryl Tapp,SEA,RDE,16,16,41.0,7.0,1.0,2007
9243,Danny Clark,HOU,LLB,13,8,40.0,0.0,1.0,2007
9244,Nick Collins,GNB,FS,13,13,40.0,0.0,0.0,2007
9245,Demarcus Faggins,HOU,RCB,16,8,40.0,0.0,0.0,2007
9246,Osi Umenyiora,NYG,RDE,16,16,40.0,13.0,,2007
9247,Hamza Abdullah,DEN,SS,11,8,39.0,0.0,0.0,2007
9248,Antonio Cromartie,SDG,RCB,16,8,39.0,0.0,10.0,2007
9249,Abram Elam,NYJ,FS,13,8,39.0,0.0,0.0,2007
9250,Ryan Fowler,TEN,MLB,14,14,39.0,0.0,0.0,2007
9251,Charles Grant,NOR,LDE,14,14,39.0,2.5,0.0,2007
9252,Ty Law,KAN,LCB,16,16,39.0,0.0,2.0,2007
9253,Bryan Thomas,NYJ,ROLB,16,14,39.0,2.5,0.0,2007
9254,Kamerion Wimbley,CLE,ROLB,16,16,39.0,5.0,0.0,2007
9255,Keith Smith,DET,DB,15,1,38.0,0.0,3.0,2007
9256,Hollis Thomas,NOR,LDT,16,14,38.0,3.0,,2007
9257,Boss Bailey,DET,LLB,15,12,37.0,3.5,0.0,2007
9258,Tony Brown,TEN,LDT,16,16,37.0,4.0,0.0,2007
9259,Clark Haggans,PIT,LOLB,16,16,37.0,4.0,0.0,2007
9260,Chris Hope,TEN,SS,11,11,37.0,0.0,2.0,2007
9261,Warren Sapp,OAK,LDT,16,16,37.0,2.0,0.0,2007
9262,Antonio Smith,ARI,LDE,16,13,37.0,5.5,,2007
9263,Kenechi Udeze,MIN,LDE,16,15,37.0,5.0,0.0,2007
9264,Akin Ayodele,DAL,RILB,16,14,36.0,0.0,0.0,2007
9265,Domata Peko,CIN,LDT,16,16,36.0,1.5,0.0,2007
9266,Dewayne Robertson,NYJ,NT,16,15,36.0,4.0,,2007
9267,Lewis Sanders,ATL,RCB,14,6,36.0,0.0,0.0,2007
9268,Stephen Tulloch,TEN,LB,16,1,36.0,0.0,,2007
9269,Vince Wilfork,NWE,NT,16,16,36.0,2.0,0.0,2007
9270,Trumaine McBride,CHI,RCB,16,9,35.0,0.0,0.0,2007
9271,Nedu Ndukwe,CIN,DB,14,2,35.0,2.0,3.0,2007
9272,Sione Pouha,NYJ,DT,16,1,35.0,0.0,0.0,2007
9273,Aaron Ross,NYG,LCB,15,9,35.0,1.5,3.0,2007
9274,Stanford Routt,OAK,RCB,16,14,35.0,0.0,3.0,2007
9275,Quinton Culberson,STL,LB,14,1,34.0,0.0,,2007
9276,Elvis Dumervil,DEN,RDE,16,16,34.0,12.5,1.0,2007
9277,Tye Hill,STL,LCB,8,7,34.0,0.0,1.0,2007
9278,Chris Kelsay,BUF,LDE,14,14,34.0,2.5,1.0,2007
9279,Mathias Kiwanuka,NYG,LLB,10,9,34.0,4.5,0.0,2007
9280,Ricky Manning,CHI,RCB,16,5,34.0,1.0,0.0,2007
9281,Igor Olshansky,SDG,LDE,16,16,34.0,3.5,1.0,2007
9282,J.R. Reed,PHI,DB,15,3,34.0,0.0,0.0,2007
9283,Matt Roth,MIA,LDE,13,9,34.0,3.0,0.0,2007
9284,Leigh Torrence,WAS,DB,16,1,34.0,1.0,,2007
9285,Ty Warren,NWE,LDE,16,16,34.0,4.0,,2007
9286,Rocky Boiman,IND,LLB,16,7,33.0,0.0,2.0,2007
9287,Kevin Carter,TAM,RDE/LDE,16,14,33.0,3.0,0.0,2007
9288,Shaun Ellis,NYJ,LDE,16,16,33.0,5.0,,2007
9289,La'Roi Glover,STL,RDT,16,16,33.0,6.0,,2007
9290,Al Harris,GNB,RCB,16,16,33.0,0.0,2.0,2007
9291,Vonnie Holliday,MIA,RDT,12,12,33.0,2.0,0.0,2007
9292,Kevin Kaesviharn,NOR,DB,16,3,33.0,0.0,0.0,2007
9293,Mike Rucker,CAR,RDE,16,16,33.0,3.0,0.0,2007
9294,Donald Strickland,SFO,DB,13,4,33.0,0.0,0.0,2007
9295,Keith Traylor,MIA,LDT,15,14,33.0,1.0,0.0,2007
9296,Fabian Washington,OAK,DB,15,3,33.0,0.0,1.0,2007
9297,Marcus Washington,WAS,LLB,12,11,33.0,5.0,,2007
9298,Dewayne White,DET,RDE/LDE,14,14,33.0,6.5,1.0,2007
9299,Adrian Wilson,ARI,SS,9,9,33.0,0.0,2.0,2007
9300,Bryant Young,SFO,LDE,16,16,33.0,6.5,0.0,2007
9301,Nnamdi Asomugha,OAK,LCB,15,15,32.0,0.0,1.0,2007
9302,Monty Beisel,ARI,LB,16,2,32.0,0.0,,2007
9303,Derrick Burgess,OAK,RDE,14,14,32.0,8.0,0.0,2007
9304,Reed Doughty,WAS,FS,16,6,32.0,0.5,0.0,2007
9305,Randall Gay,NWE,DB,16,3,32.0,0.0,3.0,2007
9306,Parys Haralson,SFO,LOLB,16,11,32.0,2.5,,2007
9307,Albert Haynesworth,TEN,RDT,13,12,32.0,6.0,0.0,2007
9308,Derrick Martin,BAL,DB,16,3,32.0,0.0,2.0,2007
9309,Fred Robbins,NYG,RDT,16,15,32.0,5.5,0.0,2007
9310,Anthony Weaver,HOU,LDE,15,13,32.0,0.0,,2007
9311,Jamal Williams,SDG,NT,13,13,32.0,0.0,0.0,2007
9312,John Abraham,ATL,RDE,16,16,31.0,10.0,0.0,2007
9313,Alex Brown,CHI,DE,16,2,31.0,4.5,1.0,2007
9314,Kevin Dockery,NYG,LCB,13,6,31.0,0.0,0.0,2007
9315,Domonique Foxworth,DEN,FS,14,6,31.0,0.0,0.0,2007
9316,Tommie Harris,CHI,RDT,16,13,31.0,8.0,,2007
9317,Chris Hovan,TAM,LDT,16,16,31.0,1.5,0.0,2007
9318,Robert Mathis,IND,LDE,13,12,31.0,7.0,,2007
9319,Sean Taylor,WAS,FS,9,9,31.0,0.0,5.0,2007
9320,Pisa Tinoisamoa,STL,RLB,9,9,31.0,0.0,2.0,2007
9321,Jeff Ulbrich,SFO,LB,16,2,31.0,0.0,0.0,2007
9322,Jonathan Vilma,NYJ,LILB,7,7,31.0,0.0,1.0,2007
9323,Tully Banta-Cain,SFO,ROLB,16,10,30.0,3.5,0.0,2007
9324,Chris Canty,DAL,RDE,16,16,30.0,3.5,0.0,2007
9325,Dwan Edwards,BAL,LDE,16,13,30.0,1.0,1.0,2007
9326,John Engelberger,DEN,LDE,16,15,30.0,1.0,0.0,2007
9327,Charles Gordon,MIN,DB,16,3,30.0,0.0,1.0,2007
9328,Kris Jenkins,CAR,RDT,16,15,30.0,2.5,0.0,2007
9329,Tim Jennings,IND,DB,11,4,30.0,0.0,0.0,2007
9330,Travis Kirschke,PIT,DE,16,4,30.0,2.0,,2007
9331,Anthony Montgomery,WAS,RDT,16,15,30.0,0.5,0.0,2007
9332,Julius Peppers,CAR,LDE,14,14,30.0,2.5,1.0,2007
9333,Pierson Prioleau,WAS,DB,15,4,30.0,0.0,,2007
9334,Dunta Robinson,HOU,LCB,9,9,30.0,0.0,2.0,2007
9335,Kevin Williams,MIN,RDT,16,16,30.0,3.0,2.0,2007
9336,George Wilson,BUF,FS,12,9,30.0,0.0,2.0,2007
9337,Stanley Wilson,DET,RCB,10,5,30.0,0.0,0.0,2007
9338,Barry Cofield,NYG,LDT,16,15,29.0,1.0,0.0,2007
9339,Vincent Fuller,TEN,DB,16,0,29.0,1.0,2.0,2007
9340,Anthony Henry,DAL,RCB,13,10,29.0,0.0,6.0,2007
9341,Clint Ingram,JAX,LLB,13,11,29.0,1.0,1.0,2007
9342,Stephen Nicholas,ATL,LB,13,0,29.0,1.0,,2007
9343,Juqua Parker,PHI,LDE,16,7,29.0,5.0,0.0,2007
9344,Hank Poteat,NYJ,RCB,16,9,29.0,0.0,2.0,2007
9345,Ed Reed,BAL,FS,16,16,29.0,0.0,7.0,2007
9346,Jonathan Wade,STL,DB,16,1,29.0,0.0,1.0,2007
9347,Pat Watkins,DAL,DB,14,0,29.0,0.0,1.0,2007
9348,Gaines Adams,TAM,RDE,16,8,28.0,6.0,0.0,2007
9349,Ralph Brown,ARI,DB,16,0,28.0,0.0,1.0,2007
9350,Erik Coleman,NYJ,DB,15,4,28.0,0.0,,2007
9351,Brian Dawkins,PHI,FS,10,10,28.0,0.0,1.0,2007
9352,Cornelius Griffin,WAS,LDT,16,16,28.0,2.5,,2007
9353,John Henderson,JAX,RDT,15,15,28.0,2.0,0.0,2007
9354,Edward Johnson,IND,RDT,16,16,28.0,1.0,,2007
9355,Ryan Pickett,GNB,LDT,14,14,28.0,1.0,0.0,2007
9356,Anthony Spencer,DAL,LLB,16,6,28.0,3.0,,2007
9357,Greg Wesley,KAN,DB,15,1,28.0,0.0,0.0,2007
9358,Kyle Williams,BUF,RDT,16,16,28.0,2.0,,2007
9359,Rodrique Wright,MIA,RDT,13,9,28.0,1.5,0.0,2007
9360,Mike Adams,CLE,DB,15,0,27.0,1.0,0.0,2007
9361,Sean Considine,PHI,SS,8,8,27.0,0.0,1.0,2007
9362,Chauncey Davis,ATL,DE,16,0,27.0,2.0,,2007
9363,Jared DeVries,DET,LDE,14,10,27.0,6.5,,2007
9364,Keith Ellison,BUF,RLB,12,9,27.0,1.0,1.0,2007
9365,Aaron Francisco,ARI,DB,10,3,27.0,0.0,,2007
9366,Travis Johnson,HOU,LDT,15,13,27.0,0.0,1.0,2007
9367,Tommy Kelly,OAK,LDE,7,6,27.0,1.0,0.0,2007
9368,Cory Redding,DET,RDT,16,16,27.0,1.0,0.0,2007
9369,Lance Schulters,MIA,DB,7,4,27.0,0.0,0.0,2007
9370,Paul Spicer,JAX,RDE,15,12,27.0,7.5,,2007
9371,Reggie Torbor,NYG,LLB,16,5,27.0,1.0,0.0,2007
9372,Eugene Wilson,NWE,FS,11,6,27.0,0.0,1.0,2007
9373,Jamie Winborn,DEN,LB,14,2,27.0,0.5,0.0,2007
9374,Victor Adeyanju,STL,LDE,15,7,26.0,0.0,0.0,2007
9375,Jamaal Anderson,ATL,LDE,16,16,26.0,0.0,0.0,2007
9376,Ryon Bingham,SDG,DT,16,2,26.0,1.5,,2007
9377,Khary Campbell,WAS,LB,16,0,26.0,0.0,,2007
9378,Ray Edwards,MIN,RDE,12,11,26.0,5.0,0.0,2007
9379,Renaldo Hill,MIA,FS,7,7,26.0,0.0,1.0,2007
9380,Grady Jackson,2TM,DT-LDT,16,7,26.0,1.0,,2007
9381,Rashad Jeanty,CIN,LLB,10,7,26.0,0.0,0.0,2007
9382,Cullen Jenkins,GNB,RDE,16,15,26.0,1.0,0.0,2007
9383,Jevon Kearse,PHI,LDE,14,8,26.0,3.5,,2007
9384,Shaun Rogers,DET,LDT,16,16,26.0,7.0,1.0,2007
9385,Eric Smith,NYJ,DB,15,4,26.0,0.0,0.0,2007
9386,Corey Williams,GNB,RDT,16,9,26.0,7.0,1.0,2007
9387,Mark Anderson,CHI,RDE,14,14,25.0,5.0,0.0,2007
9388,Rocky Bernard,SEA,RDT,14,14,25.0,3.5,,2007
9389,Brodrick Bunkley,PHI,RDT,15,15,25.0,3.0,,2007
9390,Phillip Daniels,WAS,LDE,15,15,25.0,2.5,0.0,2007
9391,Heath Farwell,MIN,LB,16,0,25.0,0.0,,2007
9392,Robert Geathers,CIN,LDE,16,16,25.0,3.5,1.0,2007
9393,Shawntae Spencer,SFO,DB,11,1,25.0,0.0,1.0,2007
9394,Montavious Stanley,ATL,LDT,14,6,25.0,0.0,,2007
9395,Josh Thomas,IND,LDE,15,7,25.0,1.0,0.0,2007
9396,Gabe Watson,ARI,LDT,16,16,25.0,0.0,0.0,2007
9397,Raheem Brock,IND,LDT,11,11,24.0,2.5,0.0,2007
9398,Jarrett Bush,GNB,DB,14,1,24.0,0.0,0.0,2007
9399,Chris Carr,OAK,DB,16,2,24.0,0.0,0.0,2007
9400,Greg Ellis,DAL,LOLB,13,10,24.0,12.5,0.0,2007
9401,Nick Greisen,BAL,LB,14,2,24.0,0.0,,2007
9402,Brian Iwuh,JAX,LB,16,1,24.0,0.0,,2007
9403,Alex Lewis,DET,LB,14,1,24.0,0.0,,2007
9404,Darrell Reid,IND,DE,16,1,24.0,0.5,,2007
9405,Jay Richardson,OAK,LDE,16,11,24.0,1.0,0.0,2007
9406,Orpheus Roye,CLE,LDE,13,6,24.0,0.5,,2007
9407,Benny Sapp,KAN,DB,14,2,24.0,0.0,1.0,2007
9408,John Thornton,CIN,RDT,14,14,24.0,1.0,0.0,2007
9409,Melvin Bullitt,IND,DB,15,0,23.0,0.0,1.0,2007
9410,Adam Carriker,STL,LDT,16,16,23.0,2.0,0.0,2007
9411,Luis Castillo,SDG,RDE,10,9,23.0,2.5,0.0,2007
9412,Ron Edwards,KAN,LDT,16,15,23.0,3.0,0.0,2007
9413,Ronald Fields,SFO,DT,16,0,23.0,1.0,,2007
9414,Michael Johnson,NYG,FS,16,5,23.0,0.0,0.0,2007
9415,Bryant McFadden,PIT,DB,13,0,23.0,0.0,1.0,2007
9416,Brandon Mebane,SEA,LDT,16,10,23.0,2.0,,2007
9417,Amobi Okoye,HOU,RDT,16,14,23.0,5.5,0.0,2007
9418,Clint Session,IND,LB,13,1,23.0,0.0,2.0,2007
9419,Donnie Spragan,MIA,LLB,16,5,23.0,0.0,,2007
9420,Usama Young,NOR,DB,14,0,23.0,0.0,0.0,2007
9421,Tyron Brackenridge,KAN,DB,13,1,22.0,0.0,,2007
9422,Stewart Bradley,PHI,LB,16,1,22.0,1.0,1.0,2007
9423,Sammy Davis,TAM,DB,14,1,22.0,0.0,0.0,2007
9424,Hiram Eugene,OAK,FS,16,5,22.0,0.0,,2007
9425,Kabeer Gbaja-Biamila,GNB,DE,15,2,22.0,9.5,0.0,2007
9426,Jarvis Green,NWE,RDE,16,10,22.0,6.5,,2007
9427,Jason Hatcher,DAL,DE,16,0,22.0,2.0,,2007
9428,Brett Keisel,PIT,RDE,16,16,22.0,2.0,0.0,2007
9429,Niko Koutouvides,SEA,LB,15,0,22.0,0.0,0.0,2007
9430,Michael Myers,CIN,DT,15,2,22.0,1.0,1.0,2007
9431,Aaron Rouse,GNB,DB,11,3,22.0,0.0,2.0,2007
9432,Bryan Scott,BUF,DB,15,2,22.0,0.0,0.0,2007
9433,Aaron Smith,PIT,LDE,11,11,22.0,2.5,,2007
9434,Joe Tafoya,ARI,RDE,13,7,22.0,2.0,0.0,2007
9435,Jamar Williams,CHI,LB,16,1,22.0,1.0,0.0,2007
9436,Ashton Youboty,BUF,DB,11,3,22.0,1.0,1.0,2007
9437,Anthony Adams,CHI,LDT,11,8,21.0,0.5,,2007
9438,Justin Bannan,BAL,DT,15,1,21.0,2.0,,2007
9439,Kevin Bentley,SEA,LB,14,2,21.0,0.0,,2007
9440,Keyunta Dawson,IND,DE,16,4,21.0,1.0,,2007
9441,Ryan Denney,BUF,DE,7,2,21.0,1.0,,2007
9442,Randall Godfrey,WAS,LB,11,4,21.0,0.0,0.0,2007
9443,Mario Haggan,BUF,LB,16,0,21.0,1.0,,2007
9444,Langston Moore,DET,DT,16,0,21.0,2.0,0.0,2007
9445,Kalvin Pearson,TAM,DB,16,1,21.0,0.0,,2007
9446,Jay Ratliff,DAL,NT,15,14,21.0,3.0,0.0,2007
9447,Samari Rolle,BAL,RCB,6,5,21.0,0.0,1.0,2007
9448,Brandon Siler,SDG,LB,15,0,21.0,0.0,,2007
9449,Corey Smith,DET,DE,16,2,21.0,2.5,,2007
9450,Greg Spires,TAM,LDE,10,8,21.0,2.0,0.0,2007
9451,Kiwaukee Thomas,BUF,DB,9,3,21.0,0.0,1.0,2007
9452,Chase Blackburn,NYG,LB,16,0,20.0,0.0,,2007
9453,David Bowens,NYJ,DE,16,2,20.0,2.5,0.0,2007
9454,Jacques Cesaire,SDG,RDE,16,6,20.0,2.5,0.0,2007
9455,Earl Cochran,HOU,DE,15,1,20.0,1.0,0.0,2007
9456,Travis Daniels,MIA,LCB,16,5,20.0,0.0,1.0,2007
9457,Brian Kelly,TAM,DB,11,4,20.0,0.0,2.0,2007
9458,John McCargo,BUF,DT,16,0,20.0,2.5,0.0,2007
9459,Karl Paymah,DEN,DB,15,3,20.0,0.0,2.0,2007
9460,Carlos Polk,SDG,LB,10,2,20.0,1.0,0.0,2007
9461,Brian Robison,MIN,RDE,16,5,20.0,4.5,,2007
9462,Carlos Rogers,WAS,RCB,7,7,20.0,0.0,1.0,2007
9463,Anthony Schlegel,CIN,MLB,13,5,20.0,0.0,,2007
9464,Gerard Warren,OAK,RDT,12,5,20.0,4.0,0.0,2007
9465,Marvin White,CIN,DB,15,3,20.0,0.0,0.0,2007
9466,Charlie Anderson,HOU,LLB,16,5,19.0,2.0,0.0,2007
9467,Alfonso Boone,KAN,RDT,15,15,19.0,1.0,0.0,2007
9468,Tim Dobbins,SDG,LB,16,0,19.0,0.0,0.0,2007
9469,Keyaron Fox,KAN,LB,10,0,19.0,0.0,,2007
9470,Aubrayo Franklin,SFO,NT,14,13,19.0,0.0,0.0,2007
9471,William Gay,PIT,DB,16,0,19.0,0.0,0.0,2007
9472,Casey Hampton,PIT,NT,15,15,19.0,0.5,,2007
9473,Marcus Hudson,SFO,DB,11,0,19.0,0.0,0.0,2007
9474,Israel Idonije,CHI,DE,16,3,19.0,0.0,0.0,2007
9475,Spencer Johnson,MIN,DT,16,0,19.0,3.0,,2007
9476,Todd Johnson,STL,DB,16,1,19.0,1.0,,2007
9477,Nate Jones,DAL,DB,15,0,19.0,1.0,,2007
9478,Leonard Little,STL,LDE,7,7,19.0,1.0,,2007
9479,Brandon McDonald,CLE,DB,16,2,19.0,0.0,2.0,2007
9480,Willie McGinest,CLE,LOLB,13,11,19.0,3.0,0.0,2007
9481,Rob Meier,JAX,LDT,16,9,19.0,4.0,0.0,2007
9482,Brandon Meriweather,NWE,DB,16,0,19.0,0.0,0.0,2007
9483,Marcus Spears,DAL,LDE,16,16,19.0,2.0,0.0,2007
9484,Randy Starks,TEN,DT,14,4,19.0,0.0,0.0,2007
9485,Scott Starks,JAX,DB,16,0,19.0,0.0,1.0,2007
9486,Marcus Stroud,JAX,LDT,9,9,19.0,3.0,0.0,2007
9487,Craig Terrill,SEA,DT,16,2,19.0,0.0,0.0,2007
9488,Jimmy Wilkerson,KAN,DE,16,2,19.0,0.5,,2007
9489,Brendon Ayanbadejo,CHI,LB,16,0,18.0,0.0,,2007
9490,Bertrand Berry,ARI,RDE,9,9,18.0,2.5,0.0,2007
9491,Demetric Evans,WAS,DE,16,1,18.0,1.0,0.0,2007
9492,Dwight Freeney,IND,RDE,9,9,18.0,3.5,,2007
9493,Matt Giordano,IND,DB,12,4,18.0,0.0,2.0,2007
9494,T.J. Rushing,IND,DB,14,0,18.0,0.0,0.0,2007
9495,Larry Tripplett,BUF,LDT,16,16,18.0,1.0,1.0,2007
9496,Will Allen,TAM,DB,15,0,17.0,0.0,,2007
9497,Darryl Blackstock,ARI,LB,16,0,17.0,3.0,,2007
9498,Ryan Clark,PIT,FS,6,6,17.0,1.0,0.0,2007
9499,Rosevelt Colvin,NWE,ROLB,11,10,17.0,4.0,1.0,2007
9501,Keith Davis,DAL,DB,14,1,17.0,0.0,0.0,2007
9502,Jamar Fletcher,HOU,DB,10,2,17.0,0.0,0.0,2007
9503,Akeem Jordan,PHI,LB,9,1,17.0,0.0,,2007
9504,Lance Laury,SEA,LB,16,0,17.0,0.0,,2007
9505,Teddy Lehman,DET,LB,16,0,17.0,0.0,,2007
9506,Trey Lewis,ATL,LDT,9,5,17.0,0.0,1.0,2007
9507,Chris McAlister,BAL,LCB,8,8,17.0,0.0,1.0,2007
9508,Mike Montgomery,GNB,DT,9,0,17.0,0.0,,2007
9509,Antwan Odom,TEN,LDE,16,16,17.0,8.0,0.0,2007
9510,Paul Posluszny,BUF,LB,3,3,17.0,0.0,,2007
9511,Terdell Sands,OAK,RDT,16,11,17.0,0.0,0.0,2007
9512,Brian Simmons,NOR,LB,16,3,17.0,1.0,,2007
9513,Quinton Teal,CAR,DB,15,1,17.0,0.0,,2007
9514,Frank Walker,GNB,DB,12,0,17.0,0.0,0.0,2007
9515,Corey Webster,NYG,DB,14,3,17.0,0.0,1.0,2007
9516,LaMarr Woodley,PIT,LB,13,0,17.0,4.0,,2007
9517,Quincy Black,TAM,LB,15,0,16.0,0.0,,2007
9518,Jerametrius Butler,BUF,DB,7,1,16.0,0.0,0.0,2007
9519,Craig Dahl,NYG,DB,9,2,16.0,0.0,,2007
9520,Herana-Daze Jones,CIN,DB,9,0,16.0,0.0,,2007
9521,Damione Lewis,CAR,DT,15,2,16.0,3.5,0.0,2007
9522,Marquand Manuel,CAR,DB,16,2,16.0,1.0,1.0,2007
9523,Dan Morgan,CAR,LB,3,3,16.0,0.0,0.0,2007
9524,Tramon Williams,GNB,DB,16,1,16.0,0.0,1.0,2007
9525,Brian Young,NOR,RDT,9,8,16.0,3.0,0.0,2007
9526,Eric Alexander,NWE,LB,12,0,15.0,0.0,,2007
9527,James Anderson,CAR,LB,10,1,15.0,0.0,,2007
9528,Idrees Bashir,DET,DB,9,1,15.0,0.0,1.0,2007
9529,H.B. Blades,WAS,LB,16,0,15.0,0.0,,2007
9530,Oliver Celestin,ARI,DB,15,4,15.0,0.0,0.0,2007
9531,Chris Clemons,OAK,DE,16,2,15.0,8.0,0.0,2007
9532,Troy Evans,NOR,LB,16,0,15.0,0.0,,2007
9533,Andre' Goodman,MIA,DB,13,4,15.0,0.0,2.0,2007
9534,Michael Green,SEA,DB,15,1,15.0,0.0,0.0,2007
9535,Marques Harris,SDG,LB,15,2,15.0,1.5,0.0,2007
9536,Reggie Hayward,JAX,LDE,12,10,15.0,3.5,0.0,2007
9537,Reynaldo Hill,TEN,DB,13,2,15.0,0.0,1.0,2007
9538,Brad Kassell,NYJ,LB,16,1,15.0,0.0,0.0,2007
9539,Ethan Kelley,CLE,NT,13,6,15.0,1.0,,2007
9540,Antwan Lake,NOR,RDT,15,7,15.0,1.0,0.0,2007
9541,Keith Lewis,SFO,DB,12,0,15.0,0.0,,2007
9542,Anthony Maddox,HOU,DT,16,3,15.0,2.0,0.0,2007
9543,Brandon McKinney,SDG,DT,14,2,15.0,0.0,0.0,2007
9544,Chad Nkang,JAX,LB,16,0,15.0,0.0,,2007
9545,Gerome Sapp,BAL,DB,9,0,15.0,2.0,0.0,2007
9546,Richard Seymour,NWE,RDE,9,8,15.0,1.5,0.0,2007
9547,Gary Stills,BAL,DE,16,0,15.0,1.0,,2007
9548,Chaun Thompson,CLE,LB,16,0,15.0,1.0,0.0,2007
9549,Tank Williams,MIN,DB,13,2,15.0,0.0,0.0,2007
9550,Patrick Dendy,CAR,DB,7,1,14.0,0.0,,2007
9551,Dovonte Edwards,DET,DB,5,0,14.0,0.0,0.0,2007
9552,Antoine Harris,ATL,DB,13,0,14.0,0.0,0.0,2007
9553,Dante Hughes,IND,DB,10,0,14.0,0.0,0.0,2007
9554,R.W. McQuarters,NYG,DB,16,2,14.0,0.0,0.0,2007
9555,Brandon Moore,SFO,LB,16,1,14.0,2.5,,2007
9556,Ryan Nece,TAM,LB,15,0,14.0,0.0,,2007
9557,Isaac Sopoaga,SFO,NT,16,5,14.0,1.5,0.0,2007
9558,Marcus Thomas,DEN,LDT,16,5,14.0,0.0,1.0,2007
9559,Jimmy Williams,ATL,DB,14,2,14.0,0.0,1.0,2007
9560,Jamaine Winborne,BAL,DB,16,0,14.0,0.0,0.0,2007
9561,Pierre Woods,NWE,LB,16,0,14.0,0.0,,2007
9562,Blue Adams,CIN,DB,13,0,13.0,1.0,,2007
9563,Alan Branch,ARI,DT,11,0,13.0,0.0,,2007
9564,Jeff Charleston,IND,DE,13,3,13.0,1.0,0.0,2007
9565,Shaun Cody,DET,DT,15,0,13.0,0.0,1.0,2007
9566,Tim Crowder,DEN,DE,13,1,13.0,4.0,,2007
9567,Donovin Darius,MIA,DB,3,2,13.0,0.0,,2007
9568,Zach Diles,HOU,LB,11,0,13.0,0.0,,2007
9569,Nick Eason,PIT,DT,16,1,13.0,0.0,,2007
9570,Kalimba Edwards,DET,RDE,8,6,13.0,3.0,,2007
9571,Eric Frampton,2TM,DB,14,0,13.0,0.0,,2007
9572,Aaron Glenn,JAX,DB,5,4,13.0,0.0,1.0,2007
9573,Corey Graham,CHI,DB,13,0,13.0,0.0,,2007
9574,Darren Howard,PHI,DE,16,0,13.0,1.0,0.0,2007
9575,David Irons,ATL,DB,15,0,13.0,0.0,,2007
9576,Johnny Jolly,GNB,RDT,10,7,13.0,1.0,0.0,2007
9577,Eric King,TEN,DB,15,1,13.0,0.0,,2007
9578,Edmond Miles,MIA,LB,16,0,13.0,0.0,,2007
9579,Kindal Moorehead,CAR,DT,16,1,13.0,2.0,,2007
9580,Quinn Pitcock,IND,DT,9,1,13.0,1.5,,2007
9581,Bryan Robinson,CIN,DT,16,4,13.0,1.5,0.0,2007
9582,Justin Rogers,DAL,LB,16,0,13.0,0.0,,2007
9583,Lawrence Timmons,PIT,LB,16,0,13.0,0.0,,2007
9584,Matt Ware,ARI,DB,15,0,13.0,0.0,,2007
9586,Brandon Archer,IND,LB,6,0,12.0,0.0,,2007
9587,John Busing,CIN,DB,12,0,12.0,0.0,,2007
9588,Matt Chatham,NYJ,LB,9,0,12.0,0.0,,2007
9590,Dashon Goldson,SFO,DB,10,0,12.0,0.0,0.0,2007
9591,Amon Gordon,2TM,DT,5,4,12.0,0.0,,2007
9593,Ramon Guzman,IND,LB,16,0,12.0,0.0,,2007
9594,Brent Hawkins,JAX,DE,14,0,12.0,3.5,,2007
9595,Adam Hayward,TAM,LB,12,0,12.0,0.0,,2007
9596,Josh Mallard,2TM,DE,11,0,12.0,3.5,0.0,2007
9598,Rob Morris,IND,LB,2,2,12.0,0.0,,2007
9600,Dimitri Patterson,KAN,DB,13,0,12.0,0.0,,2007
9601,Antwan Peek,CLE,LOLB,14,5,12.0,4.0,0.0,2007
9602,Greg Peterson,TAM,DE,10,0,12.0,1.5,,2007
9603,Ronnie Prude,BAL,DB,15,0,12.0,0.0,0.0,2007
9604,Chris Reis,NOR,DB,14,0,12.0,0.0,,2007
9605,Tim Shaw,CAR,LB,14,0,12.0,0.0,,2007
9606,Ryan Sims,TAM,DT,9,0,12.0,1.0,,2007
9607,Jyles Tucker,SDG,LB,6,0,12.0,3.5,,2007
9608,Darius Vinnett,STL,DB,8,0,12.0,0.0,,2007
9609,Darwin Walker,CHI,LDT,11,7,12.0,1.0,,2007
9610,Renaldo Wynn,NOR,DE,12,1,12.0,3.5,,2007
9611,Rodney Bailey,ARI,DE,16,0,11.0,0.0,,2007
9612,Stephen Bowen,DAL,DE,16,0,11.0,0.0,,2007
9613,Bobby Carpenter,DAL,LB,16,0,11.0,0.0,,2007
9614,Patrick Chukwurah,TAM,LB,9,0,11.0,1.0,,2007
9615,Vinny Ciurciu,MIN,LB,13,0,11.0,0.0,,2007
9616,Josh Cooper,NOR,DE,13,2,11.0,0.5,,2007
9617,Curome Cox,2TM,DB,14,0,11.0,0.0,,2007
