,Player,Tm,Pos,G,GS,Rec,RecYds,RecTD,Year
16,Marshall Faulk,STL,RB,14,14,81,830,8,2000
28,Tiki Barber,NYG,RB,16,12,70,719,1,2000
33,Charlie Garner,SFO,RB,16,15,68,647,3,2000
41,Ricky Watters,SEA,RB,16,16,63,613,2,2000
39,Edgerrin James,IND,RB,16,16,63,594,5,2000
24,Michael Pittman,ARI,RB,16,12,73,579,2,2000
23,Ahman Green,GNB,RB,16,11,73,559,3,2000
29,Curtis Martin,NYJ,RB,16,16,70,508,2,2000
61,Kevin Faulk,NWE,RB,16,9,51,465,1,2000
64,Eddie George,TEN,RB,16,16,50,453,2,2000
76,Warrick Dunn,TAM,RB,16,14,44,422,1,2000
77,Ricky Williams,NOR,RB,10,10,44,409,1,2000
80,Jamal Anderson,ATL,RB,16,16,42,382,0,2000
69,Terrell Fletcher,SDG,RB,16,6,48,355,1,2000
96,Robert Smith,MIN,RB,16,16,36,348,3,2000
100,Tim Biakabutuka,CAR,RB,12,11,34,341,2,2000
103,Stephen Davis,WAS,RB,15,15,33,313,0,2000
111,Chris Warren,2TM,RB,14,1,32,303,1,2000
131,Randy Jordan,OAK,RB,16,0,27,299,1,2000
132,Jamal Lewis,BAL,RB,16,13,27,296,0,2000
86,James Allen,CHI,RB,16,15,39,291,1,2000
110,James Stewart,DET,RB,16,16,32,287,1,2000
143,Darnell Autry,PHI,RB,11,7,24,275,1,2000
106,Shawn Bryson,BUF,RB,16,7,32,271,2,2000
93,Sammy Morris,BUF,RB,12,8,37,268,1,2000
97,Fred Taylor,JAX,RB,13,13,36,240,2,2000
107,Priest Holmes,BAL,RB,16,2,32,221,0,2000
119,Chad Morton,NOR,RB,16,3,30,213,0,2000
108,Thomas Jones,ARI,RB,14,4,32,208,0,2000
117,Lamar Smith,MIA,RB,15,15,31,201,2,2000
142,Duce Staley,PHI,RB,5,5,25,201,0,2000
94,Travis Prentice,CLE,RB,16,11,37,191,1,2000
146,Mike Anderson,DEN,RB,16,12,23,169,0,2000
147,Obafemi Ayanbadejo,BAL,RB,8,4,23,168,1,2000
164,Brandon Bennett,CIN,RB,16,0,19,168,0,2000
172,Corey Dillon,CIN,RB,16,16,18,158,0,2000
163,Tyrone Wheatley,OAK,RB,14,13,20,156,1,2000
222,Anthony Johnson,JAX,RB,12,3,12,153,0,2000
190,Dorsey Levens,GNB,RB,5,5,16,146,0,2000
215,Napoleon Kaufman,OAK,RB,14,2,13,127,1,2000
162,J.R. Redmond,NWE,RB,12,5,20,126,2,2000
193,Thurman Thomas,MIA,RB,9,0,16,117,1,2000
196,Mario Bates,DET,RB,13,0,15,109,0,2000
227,Chris Fuamatu-Ma'afala,PIT,RB,7,1,11,107,0,2000
201,Autry Denson,MIA,RB,11,0,14,105,0,2000
187,Jermaine Fazande,SDG,RB,13,7,16,104,0,2000
218,Jamel White,CLE,RB,13,0,13,100,0,2000
212,Jerome Bettis,PIT,RB,16,16,13,97,0,2000
191,Adrian Murrell,WAS,RB,15,0,16,93,0,2000
235,Richard Huntley,PIT,RB,13,0,10,91,0,2000
261,Sedrick Irvin,DET,RB,6,0,8,90,0,2000
216,Brian Mitchell,PHI,RB,16,1,13,89,1,2000
229,Emmitt Smith,DAL,RB,16,16,11,79,0,2000
206,Errict Rhett,CLE,RB,5,4,14,78,0,2000
194,Kimble Anders,KAN,RB,15,7,15,76,0,2000
209,Michael Wiley,DAL,RB,10,0,14,72,1,2000
254,Bernie Parmalee,NYJ,RB,14,0,9,66,0,2000
236,J.J. Johnson,MIA,RB,13,1,10,61,0,2000
244,Justin Watson,STL,RB,14,2,10,56,0,2000
354,Paul Smith,SFO,RB,10,0,2,55,0,2000
253,De'Mond Parker,GNB,RB,8,0,9,50,0,2000
325,Brock Olivo,DET,RB,13,0,3,50,0,2000
286,Skip Hicks,WAS,RB,10,1,5,43,0,2000
281,Shaun Alexander,SEA,RB,16,1,5,41,0,2000
282,Michael Bates,CAR,RB,16,0,5,38,0,2000
265,Rodney Thomas,TEN,RB,16,0,8,35,1,2000
291,Brian Milne,NOR,RB,16,2,5,33,1,2000
314,Moe Williams,MIN,RB,16,0,4,31,0,2000
322,Chris Howard,JAX,RB,2,1,3,26,0,2000
370,Chris Floyd,2TM,RB,13,0,1,21,0,2000
307,Raymont Harris,2TM,RB,4,0,4,20,0,2000
330,Antowain Smith,BUF,RB,11,3,3,20,0,2000
379,Amp Lee,PHI,RB,3,0,1,20,0,2000
323,Terry Kirby,OAK,RB,2,0,3,19,0,2000
333,Donnell Bennett,KAN,RB,7,2,2,17,0,2000
339,Mike Cloud,KAN,RB,16,4,2,16,0,2000
394,Aaron Stecker,TAM,RB,10,0,1,15,0,2000
332,Rabih Abdullah,TAM,RB,12,0,2,14,0,2000
338,Kenny Bynum,SDG,RB,14,0,2,13,0,2000
319,Ron Dayne,NYG,RB,16,4,3,11,0,2000
353,Harold Shaw,NWE,RB,16,0,2,11,0,2000
320,Olandis Gary,DEN,RB,1,0,3,10,0,2000
337,Reggie Brown,SEA,RB,12,1,2,9,0,2000
324,Jonathan Linton,BUF,RB,14,2,3,8,1,2000
382,Glyn Milburn,CHI,RB,16,0,1,8,0,2000
356,Terry Allen,NOR,RB,4,3,1,7,0,2000
358,Marlon Barnes,CHI,RB,13,0,1,7,0,2000
360,Robert Chancey,SDG,RB,4,3,1,6,0,2000
362,KaRon Coleman,DEN,RB,9,0,1,5,0,2000
393,Maurice Smith,ATL,RB,10,0,1,5,0,2000
401,Clarence Williams,ARI,RB,2,0,1,5,0,2000
342,Terrell Davis,DEN,RB,5,4,2,4,0,2000
359,Trung Canidate,STL,RB,3,0,1,4,0,2000
375,Ronney Jenkins,SDG,RB,16,0,1,1,0,2000
392,Detron Smith,DEN,RB,16,0,1,1,1,2000
372,Herbert Goodman,GNB,RB,5,0,1,0,0,2000
407,Mike Green,TEN,RB,1,0,0,0,0,2000
415,Basil Mitchell,GNB,RB,1,0,0,0,0,2000
416,Frank Moreau,KAN,RB,11,0,0,0,0,2000
419,Ron Rivers,ATL,RB,6,0,0,0,0,2000
420,Charlie Rogers,SEA,RB,15,0,0,0,0,2000
442,Marshall Faulk,STL,RB,14,14,83,765,9,2001
465,Duce Staley,PHI,RB,13,10,63,626,2,2001
468,Priest Holmes,KAN,RB,16,16,62,614,2,2001
467,Ahman Green,GNB,RB,16,16,62,594,2,2001
456,Charlie Garner,OAK,RB,16,16,72,578,2,2001
455,Tiki Barber,NYG,RB,14,9,72,577,0,2001
461,Warrick Dunn,TAM,RB,13,12,68,557,3,2001
470,Ricky Williams,NOR,RB,16,16,60,511,1,2001
503,Jamel White,CLE,RB,16,7,44,418,1,2001
473,LaDainian Tomlinson,SDG,RB,16,16,59,367,0,2001
508,Garrison Hearst,SFO,RB,16,16,41,347,1,2001
502,Shaun Alexander,SEA,RB,16,12,44,343,2,2001
514,Lamont Warren,DET,RB,16,3,40,336,1,2001
484,Curtis Martin,NYJ,RB,16,16,53,320,0,2001
520,Eddie George,TEN,RB,16,16,37,279,0,2001
506,Michael Pittman,ARI,RB,15,14,42,264,0,2001
549,Travis Minor,MIA,RB,16,0,29,263,1,2001
580,Kevan Barlow,SFO,RB,15,0,22,247,1,2001
578,James Stewart,DET,RB,11,10,23,242,1,2001
546,Lamar Smith,MIA,RB,16,16,30,234,2,2001
605,Maurice Smith,ATL,RB,16,12,19,230,1,2001
532,Corey Dillon,CIN,RB,16,16,34,228,3,2001
547,Michael Bennett,MIN,RB,13,13,29,226,1,2001
533,Dominic Rhodes,IND,RB,15,10,34,224,0,2001
579,Moe Williams,BAL,RB,15,2,23,210,0,2001
550,Stephen Davis,WAS,RB,16,16,28,205,0,2001
542,James Allen,CHI,RB,16,7,30,203,1,2001
565,Edgerrin James,IND,RB,6,6,24,193,0,2001
604,Antowain Smith,NWE,RB,16,15,19,192,1,2001
543,Kevin Faulk,NWE,RB,15,1,30,189,2,2001
574,Terrell Fletcher,SDG,RB,13,0,23,184,0,2001
608,Elvis Joseph,JAX,RB,14,3,18,183,2,2001
585,Travis Henry,BUF,RB,13,12,22,179,0,2001
587,Anthony Thomas,CHI,RB,14,10,22,178,0,2001
631,Deuce McAllister,NOR,RB,16,4,15,166,1,2001
576,Stacey Mack,JAX,RB,16,11,23,165,1,2001
567,Dorsey Levens,GNB,RB,15,1,24,159,1,2001
613,Trung Canidate,STL,RB,16,2,17,154,0,2001
654,Amos Zereoue,PIT,RB,14,0,13,154,1,2001
593,Thomas Jones,ARI,RB,16,2,21,151,0,2001
597,Brandon Bennett,CIN,RB,16,1,20,150,0,2001
619,Doug Chapman,MIN,RB,16,3,16,135,1,2001
652,J.R. Redmond,NWE,RB,12,0,13,132,0,2001
643,Correll Buckhalter,PHI,RB,15,6,13,130,0,2001
620,Chris Fuamatu-Ma'afala,PIT,RB,16,5,16,127,1,2001
717,Brian Mitchell,PHI,RB,16,0,6,122,0,2001
656,Tim Biakabutuka,CAR,RB,5,4,12,121,0,2001
616,Emmitt Smith,DAL,RB,14,14,17,116,0,2001
754,Jamal Anderson,ATL,RB,3,3,3,111,1,2001
675,Ricky Watters,SEA,RB,5,4,11,107,0,2001
592,Richard Huntley,CAR,RB,14,9,21,101,1,2001
680,Aaron Stecker,TAM,RB,13,0,10,101,1,2001
624,Michael Wiley,DAL,RB,16,0,16,99,1,2001
645,Ki-Jana Carter,WAS,RB,14,0,13,83,0,2001
660,Terrell Davis,DEN,RB,8,8,12,69,0,2001
612,Terry Allen,BAL,RB,11,8,17,68,0,2001
696,Ron Dayne,NYG,RB,16,7,8,67,0,2001
662,Mike Green,TEN,RB,16,1,12,64,1,2001
689,Randy Jordan,OAK,RB,16,0,9,63,0,2001
690,Terry Kirby,OAK,RB,11,0,9,62,0,2001
665,Tyrone Wheatley,OAK,RB,11,2,12,61,1,2001
683,Shawn Bryson,BUF,RB,15,3,9,59,0,2001
707,James Jackson,CLE,RB,11,10,7,56,0,2001
693,Jerome Bettis,PIT,RB,11,11,8,48,0,2001
692,Mike Anderson,DEN,RB,16,7,8,46,0,2001
714,Jason Brookins,BAL,RB,12,3,6,45,0,2001
715,KaRon Coleman,DEN,RB,4,0,6,45,0,2001
708,LaMont Jordan,NYJ,RB,16,0,7,44,1,2001
698,Nick Goings,CAR,RB,13,2,8,39,0,2001
710,Sammy Morris,BUF,RB,16,1,7,36,0,2001
737,Aveion Cason,2TM,RB,6,0,4,32,0,2001
784,Rondell Mealey,GNB,RB,11,0,2,31,0,2001
740,Olandis Gary,DEN,RB,9,1,4,29,0,2001
770,Rabih Abdullah,TAM,RB,16,0,2,26,0,2001
792,Rodney Thomas,ATL,RB,12,0,2,26,0,2001
751,Damon Washington,NYG,RB,10,0,4,25,0,2001
723,Skip Hicks,TEN,RB,9,0,5,22,0,2001
738,Reuben Droughns,DET,RB,9,3,4,21,1,2001
745,J.J. Johnson,MIA,RB,10,0,4,21,0,2001
814,Robert Holcombe,STL,RB,16,0,1,14,0,2001
791,Fred Taylor,JAX,RB,2,2,2,13,0,2001
741,Ben Gay,CLE,RB,16,0,4,11,0,2001
794,Jermaine Williams,2TM,RB,12,2,2,11,0,2001
819,Kevin McDougal,IND,RB,9,0,1,10,0,2001
825,Travis Prentice,MIN,RB,14,0,1,10,0,2001
817,Curtis Keaton,CIN,RB,13,0,1,9,0,2001
813,Derrick Harris,SDG,RB,16,0,1,7,0,2001
827,Charlie Rogers,SEA,RB,13,0,1,7,0,2001
810,Jay Graham,SEA,RB,11,0,1,6,0,2001
824,Wes Ours,TEN,RB,3,0,1,3,0,2001
797,R.J. Bowers,PIT,RB,3,0,1,0,0,2001
816,Leon Johnson,CHI,RB,12,0,1,0,0,2001
853,Brock Olivo,DET,RB,16,0,0,0,0,2001
867,Charlie Garner,OAK,RB,16,15,91,941,4,2002
886,Priest Holmes,KAN,RB,14,14,70,672,3,2002
887,Tiki Barber,NYG,RB,16,15,69,597,0,2002
920,Duce Staley,PHI,RB,16,16,51,541,3,2002
874,Marshall Faulk,STL,RB,14,10,80,537,2,2002
878,LaDainian Tomlinson,SDG,RB,16,16,79,489,1,2002
904,Michael Pittman,TAM,RB,16,15,59,477,0,2002
903,Shaun Alexander,SEA,RB,16,16,59,460,2,2002
894,Jamel White,CLE,RB,14,6,63,452,0,2002
932,Jamal Lewis,BAL,RB,16,15,47,442,1,2002
963,Marcel Shipp,ARI,RB,15,6,38,413,3,2002
927,Fred Taylor,JAX,RB,16,16,49,408,0,2002
906,Ahman Green,GNB,RB,14,14,57,393,2,2002
966,Kevin Faulk,NWE,RB,15,0,37,379,3,2002
923,Warrick Dunn,ATL,RB,15,14,50,377,2,2002
984,Clinton Portis,DEN,RB,16,12,33,364,2,2002
935,Ricky Williams,MIA,RB,16,16,47,363,1,2002
926,Curtis Martin,NYJ,RB,16,16,49,362,0,2002
897,Edgerrin James,IND,RB,14,14,61,354,1,2002
933,Deuce McAllister,NOR,RB,15,15,47,352,3,2002
964,Michael Bennett,MIN,RB,16,16,37,351,1,2002
956,Amos Zereoue,PIT,RB,16,5,42,341,0,2002
937,James Stewart,DET,RB,14,9,46,333,2,2002
929,Garrison Hearst,SFO,RB,16,16,48,317,1,2002
949,Travis Henry,BUF,RB,16,16,43,309,1,2002
930,James Allen,HOU,RB,16,5,47,302,0,2002
948,Corey Dillon,CIN,RB,16,16,43,298,0,2002
1041,Aveion Cason,DET,RB,10,3,19,288,2,2002
991,Lamar Gordon,STL,RB,13,5,30,278,2,2002
972,Eddie George,TEN,RB,16,16,36,255,2,2002
989,Kenny Watson,WAS,RB,16,4,32,253,1,2002
1001,Moe Williams,MIN,RB,16,0,27,251,0,2002
990,Antowain Smith,NWE,RB,16,15,31,243,2,2002
1039,Lamar Smith,CAR,RB,11,11,20,167,0,2002
1074,John Simon,TEN,RB,12,0,16,167,3,2002
1012,Anthony Thomas,CHI,RB,12,12,24,163,0,2002
1061,LaMont Jordan,NYJ,RB,14,0,17,160,0,2002
1102,Ladell Betts,WAS,RB,11,0,12,154,0,2002
1053,Olandis Gary,DEN,RB,13,2,18,148,0,2002
1100,Michael Wiley,DAL,RB,16,1,13,144,0,2002
1013,Stephen Davis,WAS,RB,12,12,23,142,1,2002
1083,Kevan Barlow,SFO,RB,14,0,14,136,1,2002
1090,Chester Taylor,BAL,RB,15,2,14,129,2,2002
1050,Robert Edwards,MIA,RB,12,0,18,126,1,2002
1069,Leon Johnson,CHI,RB,16,4,16,125,0,2002
1042,Dorsey Levens,PHI,RB,16,0,19,124,1,2002
1062,Terry Kirby,OAK,RB,6,0,17,115,1,2002
1038,Thomas Jones,ARI,RB,9,9,20,113,0,2002
1068,William Green,CLE,RB,16,10,16,113,0,2002
1048,Brandon Bennett,CIN,RB,12,0,18,109,0,2002
1029,Troy Hambrick,DAL,RB,16,0,21,99,0,2002
1054,Nick Goings,CAR,RB,14,2,18,91,0,2002
1117,Robert Holcombe,TEN,RB,8,0,10,91,0,2002
1075,Emmitt Smith,DAL,RB,16,16,16,89,0,2002
1058,Dee Brown,CAR,RB,14,3,17,86,1,2002
1136,Brian Westbrook,PHI,RB,15,3,9,86,0,2002
1096,James Mungro,IND,RB,9,1,13,81,0,2002
1111,Stacey Mack,JAX,RB,16,0,11,79,0,2002
1107,Tyrone Wheatley,OAK,RB,14,0,12,71,0,2002
1052,Tony Fisher,GNB,RB,15,1,18,70,0,2002
1099,Aaron Stecker,TAM,RB,16,1,13,69,0,2002
1115,Terrell Fletcher,SDG,RB,10,0,10,62,0,2002
1125,T.J. Duckett,ATL,RB,12,3,9,61,0,2002
1146,Jerome Bettis,PIT,RB,13,11,7,57,0,2002
1147,Mike Green,TEN,RB,15,2,7,57,1,2002
1187,Lamont Warren,DET,RB,3,1,4,56,2,2002
1170,Reuben Droughns,DEN,RB,16,0,5,53,1,2002
1109,Ron Dayne,NYG,RB,16,1,11,49,0,2002
1135,Jonathan Wells,HOU,RB,16,11,9,48,0,2002
1156,Mike Cloud,KAN,RB,14,2,6,48,0,2002
1198,Sammy Morris,BUF,RB,16,0,3,48,0,2002
1168,Derrick Blaylock,KAN,RB,12,0,5,47,0,2002
1150,Rondell Mealey,GNB,RB,3,1,7,45,0,2002
1191,Jesse Chatman,SDG,RB,10,0,3,44,0,2002
1157,James Fenderson,NOR,RB,16,1,6,38,0,2002
1167,Sean Bennett,NYG,RB,7,0,5,37,0,2002
1188,Damien Anderson,ARI,RB,10,1,3,36,0,2002
1161,Rudi Johnson,CIN,RB,7,0,6,34,0,2002
1169,Najeh Davenport,GNB,RB,8,0,5,33,0,2002
1177,Paul Smith,SFO,RB,11,0,5,33,0,2002
1180,Trung Canidate,STL,RB,16,1,4,31,0,2002
1197,Maurice Morris,SEA,RB,11,0,3,25,0,2002
1255,Ricky Williams,IND,RB,10,0,1,20,1,2002
1199,Chad Morton,NYJ,RB,16,0,3,19,0,2002
1212,Randy Jordan,OAK,RB,14,0,2,19,0,2002
1201,Adrian Peterson,CHI,RB,9,0,3,18,0,2002
1246,Detron Smith,IND,RB,11,2,1,14,0,2002
1209,Chris Fuamatu-Ma'afala,PIT,RB,8,0,2,12,0,2002
1213,George Layne,ATL,RB,2,0,2,11,0,2002
1193,Verron Haynes,PIT,RB,14,0,3,10,0,2002
1194,James Jackson,CLE,RB,16,0,3,9,0,2002
1224,Shawn Bryson,BUF,RB,6,0,1,9,0,2002
1210,Jay Graham,GNB,RB,3,0,2,6,0,2002
1249,Travis Stephens,TAM,RB,1,0,1,6,0,2002
1215,J.R. Redmond,NWE,RB,9,0,2,5,0,2002
1236,Delvin Joyce,NYG,RB,12,0,1,5,0,2002
1226,Rafael Cooper,DET,RB,5,0,1,4,0,2002
1260,R.J. Bowers,CLE,RB,4,0,0,0,0,2002
1263,Tony Carter,GNB,RB,12,0,0,0,0,2002
1264,Doug Chapman,MIN,RB,6,0,0,0,0,2002
1271,Madre Hill,OAK,RB,2,0,0,0,0,2002
1274,Elvis Joseph,JAX,RB,15,0,0,0,0,2002
1277,Chris Massey,STL,RB,16,1,0,0,0,2002
1294,LaDainian Tomlinson,SDG,RB,16,16,100,725,4,2003
1306,Priest Holmes,KAN,RB,16,16,74,690,0,2003
1319,Moe Williams,MIN,RB,16,7,65,644,3,2003
1305,Michael Pittman,TAM,RB,16,13,75,597,2,2003
1314,Deuce McAllister,NOR,RB,16,16,69,516,0,2003
1312,Tiki Barber,NYG,RB,16,16,69,461,1,2003
1353,Kevin Faulk,NWE,RB,15,8,48,440,0,2003
1354,Charlie Garner,OAK,RB,14,9,48,386,1,2003
1397,Duce Staley,PHI,RB,16,4,36,382,2,2003
1356,Fred Taylor,JAX,RB,16,16,48,370,1,2003
1346,Ahman Green,GNB,RB,16,16,50,367,5,2003
1348,Ricky Williams,MIA,RB,16,16,50,351,1,2003
1361,Domanick Williams,HOU,RB,14,10,47,351,0,2003
1337,Shawn Bryson,DET,RB,16,13,54,340,0,2003
1390,Warrick Dunn,ATL,RB,11,6,37,336,2,2003
1394,Brian Westbrook,PHI,RB,15,8,37,332,4,2003
1389,Clinton Portis,DEN,RB,13,13,38,314,0,2003
1383,Amos Zereoue,PIT,RB,16,6,40,310,0,2003
1399,Kevan Barlow,SFO,RB,16,4,35,307,1,2003
1365,Jamel White,CLE,RB,16,3,46,303,1,2003
1372,Shaun Alexander,SEA,RB,16,15,42,295,2,2003
1345,Edgerrin James,IND,RB,13,13,51,292,0,2003
1366,Marshall Faulk,STL,RB,11,11,45,290,1,2003
1373,Curtis Martin,NYJ,RB,16,16,42,262,0,2003
1438,Garrison Hearst,SFO,RB,12,12,25,211,1,2003
1433,DeShaun Foster,CAR,RB,14,2,26,207,2,2003
1454,Tony Fisher,GNB,RB,15,0,21,206,2,2003
1434,Jamal Lewis,BAL,RB,16,16,26,205,0,2003
1496,Chad Morton,WAS,RB,15,2,15,187,1,2003
1417,Marcel Shipp,ARI,RB,16,11,30,184,0,2003
1491,Derrick Blaylock,KAN,RB,16,0,15,181,1,2003
1443,Thomas Jones,TAM,RB,16,3,24,180,0,2003
1436,Brandon Bennett,CIN,RB,16,0,25,176,1,2003
1490,Ladell Betts,WAS,RB,9,1,15,167,0,2003
1449,Eddie George,TEN,RB,16,16,22,163,0,2003
1501,Stephen Davis,CAR,RB,14,14,14,159,0,2003
1424,Travis Henry,BUF,RB,15,15,28,158,1,2003
1453,Ricky Williams,IND,RB,13,4,22,157,1,2003
1456,Rudi Johnson,CIN,RB,13,5,21,146,0,2003
1475,Aveion Cason,DAL,RB,10,0,17,142,0,2003
1541,Correll Buckhalter,PHI,RB,15,5,10,133,1,2003
1461,Chester Taylor,BAL,RB,16,1,20,132,0,2003
1524,Michael Bennett,MIN,RB,8,7,12,132,0,2003
1498,Onterrio Smith,MIN,RB,15,3,15,129,0,2003
1465,Robert Holcombe,TEN,RB,15,0,19,121,1,2003
1532,Tyrone Wheatley,OAK,RB,15,5,12,120,0,2003
1506,James Jackson,CLE,RB,12,6,14,114,0,2003
1512,Emmitt Smith,ARI,RB,10,5,14,107,0,2003
1513,LaBrandon Toefield,JAX,RB,16,0,14,105,1,2003
1492,Arlen Harris,STL,RB,16,2,15,102,0,2003
1538,LaMont Jordan,NYJ,RB,16,0,11,101,0,2003
1509,Sammy Morris,BUF,RB,9,0,14,100,0,2003
1478,Troy Hambrick,DAL,RB,16,16,17,99,0,2003
1525,Nick Goings,CAR,RB,15,0,12,97,1,2003
1536,T.J. Duckett,ATL,RB,16,10,11,94,0,2003
1511,Antowain Smith,NWE,RB,13,6,14,92,0,2003
1549,Reuben Droughns,DEN,RB,15,4,9,87,2,2003
1514,Jerome Bettis,PIT,RB,16,10,13,86,0,2003
1540,Mike Alstott,TAM,RB,4,3,10,83,0,2003
1535,Corey Dillon,CIN,RB,13,11,11,71,0,2003
1542,Trung Canidate,WAS,RB,11,10,10,71,1,2003
1515,Olandis Gary,DET,RB,13,1,13,69,0,2003
1572,Joe Burns,BUF,RB,16,1,7,62,0,2003
1595,Dominic Rhodes,IND,RB,11,0,6,62,1,2003
1562,Chris Brown,TEN,RB,11,0,8,61,0,2003
1566,Quentin Griffin,DEN,RB,10,1,8,61,0,2003
1585,David Allen,JAX,RB,14,0,6,60,1,2003
1565,Lamar Gordon,STL,RB,10,4,8,59,0,2003
1575,Verron Haynes,PIT,RB,12,0,7,57,0,2003
1554,Stacey Mack,HOU,RB,8,5,9,55,0,2003
1561,Rabih Abdullah,CHI,RB,15,0,8,55,0,2003
1599,Jesse Chatman,SDG,RB,16,0,5,54,0,2003
1523,Obafemi Ayanbadejo,MIA,RB,16,2,12,53,0,2003
1544,William Green,CLE,RB,7,7,10,50,0,2003
1558,Aaron Stecker,TAM,RB,16,1,9,48,1,2003
1608,Paul Smith,DET,RB,7,0,5,45,0,2003
1604,Artose Pinner,DET,RB,3,2,5,40,0,2003
1602,Dorsey Levens,NYG,RB,11,0,5,39,0,2003
1588,Najeh Davenport,GNB,RB,15,0,6,38,0,2003
1618,Brian Mitchell,NYG,RB,16,0,4,38,0,2003
1632,Brock Forsey,CHI,RB,9,2,3,37,0,2003
1560,Anthony Thomas,CHI,RB,13,13,9,36,0,2003
1586,Damien Anderson,ARI,RB,16,0,6,36,0,2003
1619,Maurice Morris,SEA,RB,16,1,4,32,1,2003
1620,Adrian Murrell,DAL,RB,3,0,4,32,0,2003
1611,Avon Cobourne,DET,RB,7,0,4,30,0,2003
1657,Tony Hollings,HOU,RB,14,1,2,25,0,2003
1648,John Avery,MIN,RB,6,0,2,24,1,2003
1643,John Simon,WAS,RB,4,0,3,21,0,2003
1671,Jonathan Wells,HOU,RB,13,0,2,17,0,2003
1617,Travis Minor,MIA,RB,16,0,4,13,0,2003
1639,Sultan McCullough,WAS,RB,1,0,3,13,0,2003
1644,Rod Smart,CAR,RB,16,0,3,11,0,2003
1679,Ki-Jana Carter,NOR,RB,8,0,1,11,0,2003
1713,Josh Scobey,ARI,RB,15,0,1,9,0,2003
1680,Doug Chapman,MIN,RB,4,0,1,8,0,2003
1681,Mike Cloud,NWE,RB,5,1,1,8,0,2003
1636,Delvin Joyce,NYG,RB,16,0,3,7,0,2003
1712,J.R. Redmond,OAK,RB,1,0,1,6,0,2003
1685,James Fenderson,NOR,RB,9,0,1,5,0,2003
1699,Reno Mahe,PHI,RB,2,0,1,5,0,2003
1709,Adrian Peterson,CHI,RB,6,1,1,5,0,2003
1696,George Layne,ATL,RB,3,0,1,3,0,2003
1676,R.J. Bowers,CLE,RB,1,0,1,2,1,2003
1687,Chris Fuamatu-Ma'afala,JAX,RB,13,0,1,2,0,2003
1692,Larry Johnson,KAN,RB,6,0,1,2,0,2003
1714,Lamar Smith,NOR,RB,4,0,1,2,0,2003
1669,Lee Suggs,CLE,RB,7,0,2,0,0,2003
1740,Ronney Jenkins,OAK,RB,7,0,0,0,0,2003
1742,Leon Johnson,SDG,RB,14,0,0,0,0,2003
1750,Jamal Robertson,SFO,RB,9,0,0,0,0,2003
1751,Charlie Rogers,MIA,RB,11,0,0,0,0,2003
1705,James Mungro,IND,RB,7,0,1,-4,0,2003
1785,Brian Westbrook,PHI,RB,13,12,73,703,6,2004
1791,Domanick Williams,HOU,RB,15,15,68,588,1,2004
1807,Tiki Barber,NYG,RB,16,14,52,578,2,2004
1809,Edgerrin James,IND,RB,16,16,51,483,0,2004
1806,LaDainian Tomlinson,SDG,RB,15,15,53,441,1,2004
1800,Thomas Jones,CHI,RB,14,14,56,427,0,2004
1824,Nick Goings,CAR,RB,16,8,45,394,1,2004
1850,Onterrio Smith,MIN,RB,11,6,36,394,2,2004
1838,Michael Pittman,TAM,RB,13,13,41,391,3,2004
1851,Fred Taylor,JAX,RB,14,14,36,345,1,2004
1829,Shawn Bryson,DET,RB,16,1,44,322,0,2004
1814,Marshall Faulk,STL,RB,14,14,50,310,1,2004
1885,Warrick Dunn,ATL,RB,16,16,29,294,0,2004
1842,Amos Zereoue,OAK,RB,15,6,39,284,0,2004
1923,Larry Johnson,KAN,RB,10,3,22,278,2,2004
1844,Tony Fisher,GNB,RB,16,0,38,277,2,2004
1839,Ahman Green,GNB,RB,15,15,40,275,1,2004
1901,Kevin Faulk,NWE,RB,11,1,26,248,1,2004
1904,Derrick Blaylock,KAN,RB,12,5,25,246,1,2004
1837,Curtis Martin,NYJ,RB,16,16,41,245,2,2004
1869,Reuben Droughns,DEN,RB,16,15,32,241,2,2004
1898,Mewelde Moore,MIN,RB,10,3,27,238,0,2004
1840,Clinton Portis,WAS,RB,15,15,40,235,2,2004
1870,J.R. Redmond,OAK,RB,16,1,32,233,0,2004
1933,Moe Williams,MIN,RB,14,1,21,233,1,2004
1859,Deuce McAllister,NOR,RB,14,14,34,228,0,2004
1852,Kevan Barlow,SFO,RB,15,14,35,212,0,2004
1928,Michael Bennett,MIN,RB,11,7,21,207,1,2004
1948,Josh Scobey,ARI,RB,12,0,18,191,0,2004
1942,Steven Jackson,STL,RB,14,3,19,189,0,2004
1941,Priest Holmes,KAN,RB,8,8,19,187,1,2004
1881,Chester Taylor,BAL,RB,16,4,30,184,0,2004
1890,Kevin Jones,DET,RB,15,14,28,180,1,2004
1937,Lee Suggs,CLE,RB,10,3,20,178,1,2004
1888,Aaron Stecker,NOR,RB,16,3,29,174,0,2004
1909,Kenny Watson,CIN,RB,16,0,25,171,1,2004
1916,Shaun Alexander,SEA,RB,16,16,23,170,4,2004
1924,Willis McGahee,BUF,RB,16,11,22,169,0,2004
1927,Antowain Smith,TEN,RB,13,4,22,169,0,2004
1940,Troy Fleming,TEN,RB,16,0,19,164,2,2004
1963,Maurice Hicks,SFO,RB,9,2,16,154,0,2004
1893,LaBrandon Toefield,JAX,RB,14,0,28,151,1,2004
1935,Chris Brown,TEN,RB,11,11,20,147,0,2004
